,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics
655,6.8,174,,1.0,2.0
656,7.7,5711,,66.0,40.0
657,6.8,510,,15.0,7.0
658,6.8,343,,25.0,4.0
659,5.3,116,,1.0,3.0
660,6.5,176,,8.0,1.0
661,7.2,1151,,27.0,16.0
662,6.7,1501,,30.0,12.0
663,8.1,45823,,195.0,137.0
664,7.5,2330,,22.0,10.0
665,7.1,1803,,14.0,15.0
666,6.4,228,,7.0,4.0
667,6.7,1099,,28.0,14.0
668,6.8,102,,4.0,4.0
669,6.0,168,,4.0,2.0
670,3.5,123,,,2.0
671,7.2,2519,,23.0,18.0
672,7.0,229,,4.0,9.0
673,7.6,3458,,37.0,15.0
674,6.2,206,,13.0,6.0
675,6.2,976,,9.0,1.0
676,7.7,3178,,33.0,36.0
677,7.6,3062,,28.0,46.0
678,7.9,12809,,79.0,69.0
679,7.4,2090,,29.0,23.0
680,6.1,239,,4.0,5.0
681,6.8,347,,13.0,6.0
682,6.0,227,,7.0,7.0
683,6.5,213,,5.0,2.0
684,6.9,353,,14.0,4.0
685,7.3,413,,8.0,16.0
686,6.6,346,,13.0,4.0
687,6.5,131,,5.0,6.0
688,6.1,376,,15.0,4.0
689,7.5,1508,,17.0,21.0
690,7.2,1582,,34.0,18.0
691,6.3,151,,4.0,2.0
692,6.9,756,,19.0,6.0
693,8.0,5980,,49.0,31.0
694,7.2,1355,,17.0,10.0
695,6.9,116,,3.0,1.0
696,7.1,819,,4.0,12.0
697,7.0,188,,3.0,
698,5.8,661,,19.0,12.0
699,7.0,1266,,25.0,20.0
700,7.6,854,,10.0,17.0
701,7.3,1805,,15.0,21.0
702,7.4,1328,,18.0,18.0
703,5.5,187,,18.0,5.0
704,4.9,386,,31.0,8.0
705,5.4,203,,13.0,5.0
706,5.6,258,,8.0,5.0
707,7.0,9412,,98.0,65.0
708,6.2,339,,13.0,8.0
709,6.4,119,,6.0,2.0
710,5.7,6327,,85.0,35.0
711,6.4,839,,28.0,17.0
712,6.0,539,,21.0,14.0
713,6.7,169,,5.0,
714,7.0,6900,69.0,71.0,43.0
715,6.4,332,,15.0,3.0
716,5.8,1983,,38.0,11.0
717,6.4,390,,6.0,6.0
718,6.5,261,,9.0,3.0
719,5.9,110,,12.0,1.0
720,6.5,1074,,19.0,3.0
721,6.1,104,,4.0,2.0
722,6.2,1034,,24.0,17.0
723,6.2,651,,16.0,8.0
724,3.1,116,,,2.0
725,7.0,382,,15.0,6.0
726,7.2,481,,4.0,8.0
727,6.8,445,,13.0,9.0
728,6.6,132,,6.0,5.0
729,5.9,255,,12.0,3.0
730,6.6,232,,12.0,4.0
731,6.0,106,,8.0,3.0
732,7.3,2899,,35.0,35.0
733,6.9,132,,,1.0
734,5.2,115,,6.0,
735,5.8,621,,28.0,5.0
736,7.2,687,,27.0,10.0
737,6.7,143,,9.0,2.0
738,6.4,103,,1.0,4.0
739,5.2,117,,6.0,1.0
740,6.1,694,,28.0,17.0
741,6.6,285,,12.0,10.0
742,5.8,112,,7.0,1.0
743,6.8,1521,,37.0,28.0
744,7.2,520,,21.0,8.0
745,5.1,117,,9.0,2.0
746,5.3,289,,18.0,4.0
747,5.8,134,,11.0,5.0
748,5.9,1827,,44.0,11.0
749,6.6,310,,10.0,6.0
750,6.1,110,,3.0,1.0
751,5.9,118,,6.0,2.0
752,5.5,898,,29.0,28.0
753,7.0,178,,5.0,1.0
754,7.0,1139,,21.0,15.0
755,6.1,269,,9.0,1.0
756,6.9,938,,19.0,9.0
757,7.3,214,,6.0,5.0
758,6.7,317,,3.0,11.0
759,6.7,441,,9.0,17.0
760,6.1,381,,14.0,4.0
761,6.7,619,,31.0,20.0
762,6.8,100,,4.0,1.0
763,6.0,429,,24.0,8.0
764,7.1,1924,,30.0,29.0
765,6.5,169,,13.0,2.0
766,7.8,1144,,19.0,14.0
767,6.0,431,,19.0,1.0
768,6.2,2555,,50.0,32.0
769,6.2,1148,,18.0,3.0
770,5.6,385,,3.0,
771,7.4,2649,,19.0,46.0
772,5.7,151,,8.0,1.0
773,7.0,111,,5.0,3.0
774,7.3,246,,2.0,2.0
775,6.7,187,,7.0,6.0
776,6.1,562,,21.0,19.0
777,5.2,528,,8.0,1.0
778,5.7,169,,11.0,
779,6.5,656,,25.0,16.0
780,6.8,143,,3.0,4.0
781,7.3,726,,7.0,13.0
782,7.3,332,,1.0,8.0
783,5.8,259,,15.0,4.0
784,6.0,603,,20.0,9.0
785,6.9,315,,17.0,4.0
786,7.1,1353,89.0,41.0,25.0
787,6.5,710,,8.0,14.0
788,6.7,181,,2.0,4.0
789,7.1,3049,,22.0,19.0
790,5.5,353,,21.0,6.0
791,6.8,157,,7.0,8.0
792,6.1,691,,22.0,10.0
793,7.2,524,,9.0,12.0
794,6.0,204,,11.0,4.0
795,6.9,102,,5.0,2.0
796,6.1,304,,15.0,4.0
797,5.5,156,,3.0,2.0
798,6.0,191,,12.0,3.0
799,6.1,267,,11.0,5.0
800,6.3,116,,5.0,7.0
801,6.1,245,,13.0,3.0
802,5.8,367,,27.0,3.0
803,6.9,183,,4.0,6.0
804,6.7,489,,19.0,9.0
805,5.5,200,,10.0,4.0
806,5.0,138,,2.0,
807,6.1,602,,5.0,4.0
808,7.0,1811,,30.0,18.0
809,4.9,328,,21.0,3.0
810,7.3,1296,,5.0,18.0
811,6.1,337,,12.0,2.0
812,5.7,115,,8.0,1.0
813,6.5,358,,25.0,12.0
814,7.9,3996,,50.0,41.0
